API,Description
Azure Table,"This API isn't a good choice for this scenario, and should only be used to allow existing apps that are based on the Table API access to Azure Cosmos DB."
Cassandra,"This API isn't a good choice due to the existing MongoDB database, and the requirement to import and reuse application code."
Core (SQL),This API would be a good choice if there wasn't a requirement to reuse existing code and import an existing MongoDB database.
Gremlin,This API isn't a good choice because the data isn't graph based.
